Nation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,0.47467082566942687,0.47785053746553907,0.44803213294257943,0.4914685165216453,0.4604542001360805,0.4796082016071424,0.5110900039988902,0.5187975384920179,0.5055562800791191,0.5046759172812246,0.5131593021711344,0.5415317526804522,0.5331368135165985,0.5357125701943366
Kyrgyzstan,0.5459417770443418,0.5433542647782331,0.5325297241303014,0.5357709499730215,0.5233648751811575,0.5475938564676779,0.5782266149698178,0.5895671155408924,0.5563629917806894,0.5605926547292347,0.5630599155630102,0.5845468199839083,0.56321959781274,0.5748302612731166
Slovakia,0.53925265941534,0.5142627307338795,0.4876922156153209,0.4915104162751384,0.47102726781381843,0.5054161088524332,0.530937173745723,0.4976258221180232,0.4696379048894048,0.4844936946656581,0.4934041557738409,0.5238144756139558,0.5187586412062142,0.5215815448610454
Lithuania,0.5735994115569036,0.5688230529715254,0.5593937849989618,0.5679640240548012,0.5296834213807289,0.5506176582223883,0.5704581637039838,0.5437639421113932,0.5313373810320358,0.5499142285032251,0.5570094684405958,0.584827954455877,0.5747525830981173,0.5773100494963358
Sweden,0.6541466428688352,0.6297403514373545,0.607093520824398,0.5984992630159238,0.5472147616058783,0.5794047150229668,0.6032711584414774,0.5823342715711192,0.5623194579651097,0.5526772633038236,0.5727705542488324,0.6003047605109016,0.5890946661469865,0.5919028381674075
Slovenia,0.53663334805499,0.503517689956048,0.5026126170981849,0.5065904242229551,0.4926025723286012,0.5247054761384112,0.5683844757014916,0.5555782442365089,0.5325376281915274,0.5348586848719639,0.5349349137881387,0.5594557145514548,0.5523083801330645,0.5546416764938273
Latvia,0.4827002925950523,0.4966320258338831,0.5105443434387194,0.5193743762742001,0.48395247219395615,0.5009784901500607,0.5442553487261915,0.5244647782809676,0.5040836937031327,0.5165400492810286,0.5268637086338622,0.5661856248963083,0.558815871022993,0.561089247790381
Iceland,0.5424197192430471,0.532597810295171,0.5259678403480074,0.5285092093235205,0.5090833341969775,0.5417621891317557,0.5878603129097928,0.5668341334939223,0.5471847216508788,0.5478561318938363,0.5494765605672647,0.5719633547587352,0.5725213516812966,0.5744968556989509
Hungary,0.5547732404717802,0.5398649589174598,0.5272071761162364,0.5303589650267226,0.5030112406944058,0.5368665526799861,0.5593651667428999,0.5412275762783023,0.5303655764230516,0.5410225332627889,0.5429225751757698,0.562466237693264,0.5536525711428578,0.5567297836134042
Liechtenstein,0.47996865932640653,0.47795968339984396,0.4529797938526692,0.42238506756019195,0.43688019947888385,0.4954687661669968,0.5192752643575871,0.4784710223905028,0.4476108584076476,0.44998649738910895,0.4554688723351851,0.4903249267369998,0.46883876183929973,0.47103916250089706
Italy,0.5058336951934465,0.49746265238184545,0.4845822010480542,0.49635401722724687,0.4583188502496363,0.5125511837454162,0.5337869675936171,0.5065717926969688,0.4922067779104507,0.5095971153244013,0.5128265107258367,0.5379647103156868,0.5337591838960694,0.5370716790613189
Portugal,0.5551807709106457,0.5777299757291664,0.567401948321341,0.5653142538463976,0.5367472148209791,0.5685151293518063,0.59086384957813,0.5702866374056265,0.5534293257358367,0.5539039445834425,0.5585634730516503,0.57748978414528,0.5704751960876774,0.5730760213083603
Switzerland,0.6318962743304141,0.6282466770924195,0.6165979683723977,0.6112182620667959,0.5993357132867042,0.6144042937440589,0.6289668076694335,0.631779364272685,0.6200678759476037,0.6185994018532748,0.6202746945422403,0.6425464531389223,0.6343365920943375,0.6368557915482486
Panama,0.574079027260808,0.5571985515916039,0.5448204169207483,0.5471014775886959,0.5263690730452938,0.5591727406426736,0.578815417626312,0.5474443960963667,0.5082760889953111,0.514595476671029,0.5130709169943629,0.5365382963138114,0.5269942918123596,0.5287651931297919
Kazakhstan,0.4955970297630548,0.49026410757330274,0.48335100901495986,0.4938175568161762,0.4679222311677857,0.5096241273338609,0.5369052624706567,0.5037809445170319,0.47675206180503216,0.49190558116056843,0.490905013108412,0.5198491560695894,0.508643060360166,0.5176036142059091
Denmark,0.5904037877839861,0.5921829512786654,0.571699289860289,0.5707498100077024,0.5520567872269773,0.5863301229230475,0.6058896929884745,0.5939647274932099,0.5806273012539164,0.5792151080362162,0.58856066615071,0.6167517160904592,0.610559134144065,0.6132943812113744
Brunei Darussalam,0.43725676560966753,0.4251991994479996,0.39851248606502426,0.41974732626078115,0.3911431607492413,0.44585150639925664,0.49002186255904634,0.43459808481696527,0.4197309822687431,0.4531759573300106,0.4482599146103229,0.48468229259651796,0.4968028069933459,0.5179865816264525
Estonia,0.53791779783443,0.5440095663597598,0.5268367084334578,0.5264034163216237,0.5040315758648203,0.5460028136467686,0.5701712603286931,0.5634282995011609,0.538450013611703,0.5413205053609624,0.5558296138977021,0.5780870748625754,0.5707743652554608,0.573592632848163
Malta,0.5124702324341965,0.4859101246129903,0.47033939490835297,0.49867784129056864,0.4733044766631632,0.48134192845234125,0.6206270091670625,0.5973944561312515,0.6033120086055396,0.5855023692166447,0.5721458155051778,0.6022979381414538,0.5934133270320074,0.5973123571034975
Poland,0.5182479259795534,0.5133217085344767,0.5245136499337121,0.5286284762173696,0.49927894733505107,0.5260293805475778,0.5168860032883301,0.49180424448279236,0.4975875528389587,0.5085577765603019,0.516296670921563,0.5450477114283632,0.5311453614676359,0.5338851474082682
United Kingdom of Great Britain and Northern Ireland,0.5732550647601409,0.5652676408765696,0.5530236331008835,0.5544794635763953,0.5426873662088645,0.5767842554381133,0.5937632547547524,0.587086981187925,0.5781081149267792,0.5758603304913223,0.5821997821008236,0.6028568745185273,0.5938793671459608,0.5966879512727289
Bahrain,0.4609333679238782,0.4583849880131055,0.44108811072510523,0.4475406454356293,0.41121639490014333,0.470197809540353,0.5011586392568992,0.4513529024987059,0.4345566416686745,0.4893211224353219,0.4761304409413969,0.4994415418173615,0.493147251439751,0.49952465519306194
Greece,0.5440390193113175,0.5409942451349546,0.5429400179239051,0.5439146548369871,0.5274200103586857,0.5585379694810647,0.5815833231835095,0.5630078558889945,0.5374920094258816,0.5450771368606172,0.5321066547567922,0.5704283561794795,0.5603499975817742,0.5624537225174567
"China, Hong Kong Special Administrative Region",0.5873313409262376,0.5800712216341376,0.5653514859403184,0.585555917047735,0.5530447257834683,0.5897796054791251,0.6133924301904697,0.6039702382004866,0.5776778393470332,0.5761853590490993,0.5798236046708152,0.6005866942332788,0.5943156382093259,0.6091564864588893
